episode,win,reward,steps,trial_count,epsilon,w_norm
284,0,6.0000,13,47,0.26041,3.0853
285,0,7.1000,11,62,0.26028,3.1863
286,0,8.8000,17,67,0.26015,3.2984
287,0,-0.1000,4,4,0.26002,3.1873
288,0,-1.0000,1,1,0.25989,3.1389
289,0,8.3000,13,70,0.25976,3.2256
290,0,8.3000,17,62,0.25963,3.2941
291,0,4.6000,10,39,0.25950,3.2602
292,0,7.0000,10,63,0.25937,3.3484
293,0,5.0000,8,47,0.25924,3.3655
294,0,5.6000,7,55,0.25911,3.3632
295,0,7.2000,14,57,0.25898,3.4482
296,0,6.2000,10,55,0.25885,3.4909
297,0,6.4000,9,59,0.25872,3.5078
298,0,6.6000,8,63,0.25859,3.5490
299,0,-1.0000,1,1,0.25846,3.4870
300,0,2.2000,7,21,0.25833,3.3784
301,0,4.2000,2,51,0.25820,3.3858
302,0,-1.0000,1,1,0.25807,3.3378
303,0,5.5000,8,52,0.25794,3.3589
304,0,7.5000,12,64,0.25782,3.4748
305,0,3.1000,5,34,0.25769,3.4194
306,0,2.1000,8,18,0.25756,3.3295
307,0,-0.1000,4,4,0.25743,3.2358
308,0,1.0000,5,13,0.25730,3.1778
309,0,3.8000,7,37,0.25717,3.1915
310,0,7.1000,16,52,0.25704,3.2769
311,0,-1.0000,1,1,0.25691,3.2446
312,0,8.9000,19,64,0.25679,3.3356
313,0,6.2000,3,69,0.25666,3.3636
314,0,3.0000,6,31,0.25653,3.3204
315,0,-0.1000,4,4,0.25640,3.2336
316,0,-0.1000,4,4,0.25627,3.1647
317,0,7.3000,10,66,0.25614,3.2676
318,0,4.0000,4,45,0.25602,3.2781
319,0,-1.0000,1,1,0.25589,3.2474
320,0,8.8000,16,69,0.25576,3.4056
321,0,4.3000,4,48,0.25563,3.3965
322,0,6.0000,5,63,0.25551,3.4227
323,0,6.0000,9,55,0.25538,3.4817
324,0,-0.4000,3,3,0.25525,3.3841
325,0,5.4000,8,51,0.25512,3.4315
326,0,2.3000,6,24,0.25499,3.3830
327,0,4.8000,6,49,0.25487,3.3878
328,0,2.2000,8,19,0.25474,3.3428
329,0,1.8000,3,25,0.25461,3.3211
330,0,6.8000,7,67,0.25448,3.3513
331,0,4.5000,3,52,0.25436,3.3661
332,0,-1.0000,1,1,0.25423,3.3366
333,0,-0.7000,2,2,0.25410,3.2915
334,0,6.6000,8,63,0.25398,3.3478
335,0,2.2000,6,23,0.25385,3.3210
336,0,6.9000,11,60,0.25372,3.4231
337,0,5.8000,4,63,0.25360,3.4791
338,0,-0.4000,3,3,0.25347,3.4022
339,0,-0.4000,3,3,0.25334,3.3366
340,0,2.4000,4,29,0.25322,3.3307
341,0,-1.0000,1,1,0.25309,3.3067
342,0,4.5000,5,48,0.25296,3.3400
343,0,-1.0000,1,1,0.25284,3.3161
344,0,-1.0000,1,1,0.25271,3.2944
345,0,4.9000,4,54,0.25258,3.3262
346,0,1.5000,5,18,0.25246,3.2973
347,0,5.9000,10,52,0.25233,3.3634
348,0,-1.0000,1,1,0.25220,3.3408
349,0,5.1000,5,54,0.25208,3.3630
350,0,4.9000,5,52,0.25195,3.3939
351,0,7.7000,13,64,0.25183,3.4253
352,0,0.1000,2,10,0.25170,3.3891
353,0,-0.4000,3,3,0.25157,3.3376
354,0,5.5000,9,50,0.25145,3.3907
355,0,6.1000,4,66,0.25132,3.4342
356,0,-1.0000,1,1,0.25120,3.4069
357,0,-0.7000,2,2,0.25107,3.3649
358,0,4.3000,4,48,0.25095,3.3956
359,0,-1.0000,1,1,0.25082,3.3720
360,0,1.8000,2,27,0.25070,3.3618
361,0,4.3000,4,48,0.25057,3.3885
362,0,6.2000,10,55,0.25044,3.4673
363,0,5.0000,4,55,0.25032,3.4850
364,0,7.3000,9,68,0.25019,3.5133
365,0,6.4000,9,59,0.25007,3.5591
366,0,6.9000,10,62,0.24994,3.6150
367,0,5.7000,6,58,0.24982,3.6726
368,0,2.9000,4,34,0.24969,3.6448
369,0,6.7000,6,68,0.24957,3.6855
370,0,8.0000,12,69,0.24944,3.7726
371,0,7.6000,14,61,0.24932,3.8680
372,0,2.6000,2,35,0.24920,3.8468
373,0,-0.1000,4,4,0.24907,3.7111
374,0,2.3000,5,26,0.24895,3.6730
375,0,6.1000,5,64,0.24882,3.6995
376,0,-1.0000,1,1,0.24870,3.6591
377,0,-0.4000,3,3,0.24857,3.5795
378,0,5.2000,3,59,0.24845,3.6109
379,0,6.2000,8,59,0.24832,3.6364
380,0,6.5000,4,70,0.24820,3.6658
381,0,7.7000,11,68,0.24808,3.7779
382,0,6.0000,6,61,0.24795,3.8144
383,0,-1.0000,1,1,0.24783,3.7688
384,0,6.9000,17,48,0.24770,3.8532
385,0,7.9000,16,60,0.24758,3.9418
386,0,8.8000,19,63,0.24746,4.0669
387,0,4.1000,3,48,0.24733,4.0556
388,0,-0.4000,3,3,0.24721,3.9173
389,0,0.2000,5,5,0.24709,3.7722
390,0,-0.4000,3,3,0.24696,3.6814
391,0,-1.0000,1,1,0.24684,3.6467
392,0,6.2000,5,65,0.24671,3.7128
393,0,7.6000,10,69,0.24659,3.8058
394,0,-0.1000,4,4,0.24647,3.6993
395,0,4.9000,6,50,0.24635,3.7161
396,0,3.1000,3,38,0.24622,3.7028
397,0,-1.0000,1,1,0.24610,3.6699
398,0,1.2000,3,19,0.24598,3.6322
399,0,5.5000,4,60,0.24585,3.6527
400,0,-0.2000,2,7,0.24573,3.6089
401,0,3.6000,4,41,0.24561,3.6197
402,0,2.3000,3,30,0.24548,3.6145
403,0,7.2000,10,65,0.24536,3.6540
404,0,-1.0000,1,1,0.24524,3.6247
405,0,3.6000,5,39,0.24512,3.6335
406,0,8.2000,14,67,0.24499,3.6607
407,0,3.0000,6,31,0.24487,3.6406
408,0,4.8000,6,49,0.24475,3.6505
409,0,4.2000,3,49,0.24463,3.6609
410,0,6.6000,7,65,0.24450,3.6945
411,0,6.6000,10,59,0.24438,3.7459
412,0,7.6000,15,59,0.24426,3.8160
413,0,6.6000,10,59,0.24414,3.8512
414,0,6.6000,7,65,0.24402,3.8889
415,0,6.9000,8,66,0.24389,3.9461
416,0,2.2000,2,31,0.24377,3.9143
417,0,-1.0000,1,1,0.24365,3.8701
418,0,7.6000,12,65,0.24353,3.9117
419,0,3.2000,3,39,0.24341,3.9018
420,0,4.5000,3,52,0.24328,3.9069
421,0,7.2000,9,67,0.24316,3.9659
422,0,9.5000,20,68,0.24304,4.0835
423,0,1.8000,4,23,0.24292,3.9996
424,0,-1.0000,1,1,0.24280,3.9511
425,0,5.6000,3,63,0.24268,3.9739
426,0,2.3000,10,16,0.24256,3.8798
427,0,3.5000,4,40,0.24243,3.8753
428,0,-1.0000,1,1,0.24231,3.8363
429,0,7.1000,8,68,0.24219,3.9041
430,0,6.5000,8,62,0.24207,3.9563
431,0,6.1000,7,60,0.24195,3.9944
432,0,3.3000,3,40,0.24183,3.9761
433,0,2.1000,3,28,0.24171,3.9352
434,0,0.6000,3,13,0.24159,3.8821
435,0,1.8000,2,27,0.24147,3.8563
436,0,6.9000,10,62,0.24135,3.8930
437,0,5.6000,4,61,0.24122,3.9229
438,0,7.5000,12,64,0.24110,4.0199
439,0,7.9000,13,66,0.24098,4.0981
440,0,1.5000,7,14,0.24086,3.9896
441,0,0.9000,3,16,0.24074,3.9259
442,0,1.9000,5,22,0.24062,3.8719
443,0,6.5000,7,64,0.24050,3.9296
444,0,-1.0000,1,1,0.24038,3.8922
445,0,8.3000,15,66,0.24026,3.9748
446,0,9.6000,20,69,0.24014,4.0801
447,0,9.2000,20,65,0.24002,4.1873
448,0,5.3000,5,56,0.23990,4.1835
449,0,-1.0000,1,1,0.23978,4.1275
450,0,7.3000,9,68,0.23966,4.1843
451,0,5.0000,3,57,0.23954,4.1810
452,0,-1.0000,1,1,0.23942,4.1283
453,0,6.1000,4,66,0.23930,4.1592
454,0,-1.0000,1,1,0.23918,4.1078
455,0,8.1000,13,68,0.23906,4.1475
456,0,4.2000,6,43,0.23894,4.1411
457,0,5.6000,5,59,0.23882,4.1620
458,0,7.4000,9,69,0.23870,4.2118
459,0,6.4000,5,67,0.23858,4.2339
460,0,6.0000,8,57,0.23847,4.2439
461,0,-1.0000,1,1,0.23835,4.1920
462,0,3.9000,5,42,0.23823,4.1793
463,0,7.0000,9,65,0.23811,4.2073
464,0,6.3000,8,60,0.23799,4.2432
465,0,6.2000,6,63,0.23787,4.2605
466,0,-0.7000,2,2,0.23775,4.1773
467,0,5.6000,2,65,0.23763,4.1924
468,0,-1.0000,1,1,0.23751,4.1477
469,0,8.2000,15,65,0.23739,4.1973
470,0,5.8000,3,65,0.23728,4.2119
471,0,5.5000,7,54,0.23716,4.2369
472,0,0.8000,2,17,0.23704,4.1836
473,0,5.7000,7,56,0.23692,4.2127
474,0,4.7000,2,56,0.23680,4.2176
475,0,6.5000,6,66,0.23668,4.2561
476,0,7.9000,11,70,0.23657,4.3604
477,0,3.2000,4,37,0.23645,4.3204
478,0,2.5000,5,28,0.23633,4.2634
479,0,0.9000,3,16,0.23621,4.2100
480,0,5.0000,4,55,0.23609,4.2176
481,0,4.5000,2,54,0.23597,4.2229
482,0,4.4000,6,45,0.23586,4.2243
483,0,5.3000,4,58,0.23574,4.2378
484,0,7.5000,9,70,0.23562,4.2652
485,0,7.1000,8,68,0.23550,4.2948
486,0,-1.0000,1,1,0.23538,4.2540
487,0,-1.0000,1,1,0.23527,4.2159
488,0,7.5000,11,66,0.23515,4.3177
489,0,6.5000,7,64,0.23503,4.3664
490,0,-0.1000,3,6,0.23491,4.2721
491,0,6.4000,6,65,0.23480,4.2967
492,0,5.8000,5,61,0.23468,4.3355
493,0,3.1000,2,40,0.23456,4.3196
494,0,4.6000,3,53,0.23444,4.3256
495,0,7.6000,10,69,0.23433,4.3529
496,0,6.3000,5,66,0.23421,4.3815
497,0,4.1000,3,48,0.23409,4.3727
498,0,8.1000,18,58,0.23398,4.4546
499,0,5.9000,7,58,0.23386,4.4922
500,0,-1.0000,1,1,0.23374,4.4411
501,0,6.4000,6,65,0.23363,4.4927
502,0,-1.0000,1,1,0.23351,4.4434
503,0,7.2000,8,69,0.23339,4.4756
504,0,6.4000,6,65,0.23328,4.4971
505,0,6.3000,5,66,0.23316,4.5273
506,0,6.0000,6,61,0.23304,4.5404
507,0,4.9000,6,50,0.23293,4.5382
508,0,-0.4000,3,3,0.23281,4.4326
509,0,7.7000,12,66,0.23269,4.5219
510,0,5.1000,4,56,0.23258,4.5368
511,0,5.2000,3,59,0.23246,4.5447
512,0,-1.0000,1,1,0.23234,4.4967
513,0,0.5000,3,12,0.23223,4.4181
514,0,7.5000,10,68,0.23211,4.4679
515,0,-1.0000,1,1,0.23200,4.4249
516,0,5.2000,9,47,0.23188,4.4374
0,-1517,.0000,1,1,0.23176,4.3999
518,0,5.4000,3,61,0.23165,4.4143
519,0,2.4000,6,25,0.23153,4.3697
520,0,-1.0000,1,1,0.23142,4.3355
521,0,6.5000,9,60,0.23130,4.3604
522,0,8.6000,17,65,0.23118,4.4027
523,0,6.0000,12,49,0.23107,4.4446
524,0,7.5000,13,62,0.23095,4.4901
525,0,5.4000,5,57,0.23084,4.5110
526,0,-1.0000,1,1,0.23072,4.4661
527,0,4.7000,5,50,0.23061,4.4792
528,0,2.3000,4,28,0.23049,4.4335
529,0,4.8000,6,49,0.23038,4.4470
530,0,6.0000,7,59,0.23026,4.4819
531,0,5.9000,5,62,0.23015,4.4988
532,0,6.7000,7,66,0.23003,4.5413
533,0,4.1000,4,46,0.22992,4.5353
534,0,6.7000,7,66,0.22980,4.5818
535,0,6.9000,8,66,0.22969,4.6066
536,0,0.5000,5,8,0.22957,4.5147
537,0,5.8000,9,53,0.22946,4.5287
538,0,7.5000,14,60,0.22934,4.5995
539,0,8.1000,15,64,0.22923,4.6689
540,0,6.6000,13,53,0.22911,4.6978
541,0,7.8000,10,71,0.22900,4.7320
542,1,9.2000,7,70,0.22888,4.8562
543,0,-1.0000,1,1,0.22877,4.7958
544,0,7.0000,7,69,0.22866,4.8209
545,0,-1.0000,1,1,0.22854,4.7627
546,0,3.3000,3,40,0.22843,4.7299
547,0,-0.7000,2,2,0.22831,4.6432
548,0,-1.0000,1,1,0.22820,4.5963
549,0,7.3000,11,64,0.22808,4.6305
550,0,2.3000,2,32,0.22797,4.6104
551,0,-0.7000,2,2,0.22786,4.5368
552,0,6.5000,5,68,0.22774,4.5719
553,0,-1.0000,1,1,0.22763,4.5332
554,0,7.7000,13,64,0.22751,4.6056
555,0,-1.0000,1,1,0.22740,4.5604
556,0,7.7000,14,62,0.22729,4.6258
557,0,6.2000,8,59,0.22717,4.6754
558,0,5.7000,5,60,0.22706,4.6850
559,0,6.0000,7,59,0.22695,4.7133
560,0,8.1000,19,56,0.22683,4.7732
561,0,4.2000,4,47,0.22672,4.7572
562,0,4.6000,8,43,0.22661,4.7509
563,0,-1.0000,1,1,0.22649,4.7066
564,0,-0.4000,3,3,0.22638,4.6115
565,0,5.4000,6,55,0.22627,4.6228
566,0,-0.4000,3,3,0.22615,4.5398
567,0,5.6000,5,59,0.22604,4.5778
568,0,6.1000,7,60,0.22593,4.6233
569,0,5.2000,5,55,0.22581,4.6460
570,0,-0.1000,3,6,0.22570,4.5695
571,0,5.2000,3,59,0.22559,4.5834
572,0,7.6000,11,67,0.22548,4.6399
573,0,7.0000,9,65,0.22536,4.6779
574,0,-0.4000,3,3,0.22525,4.5878
575,0,-0.1000,4,4,0.22514,4.5000
576,0,6.0000,6,61,0.22502,4.5299
577,0,-0.4000,3,3,0.22491,4.4694
578,0,0.0000,2,9,0.22480,4.4323
579,0,6.2000,8,59,0.22469,4.4800
580,0,9.2000,19,67,0.22458,4.5162
581,0,6.9000,13,56,0.22446,4.5756
582,0,8.1000,13,68,0.22435,4.6467
583,0,8.4000,17,63,0.22424,4.7053
584,0,-1.0000,1,1,0.22413,4.6579
585,0,4.3000,2,52,0.22401,4.6559
586,0,-0.7000,2,2,0.22390,4.5791
587,0,7.1000,11,62,0.22379,4.6438
588,0,6.4000,5,67,0.22368,4.6800
589,0,-1.0000,1,1,0.22357,4.6337
590,0,5.4000,5,57,0.22345,4.6457
591,0,7.0000,9,65,0.22334,4.6728
592,0,6.3000,6,64,0.22323,4.7047
593,0,6.8000,8,65,0.22312,4.7337
594,0,-1.0000,1,1,0.22301,4.6865
595,0,6.0000,7,59,0.22290,4.7181
596,0,-1.0000,1,1,0.22279,4.6768
597,0,5.6000,7,55,0.22267,4.6993
